id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
130_mz3_iin_sirius_150	C9H10O3	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.9751154184341431	Phenylpropanoids (C6-C3)	0.5104309320449829	Cinnamic acids and derivatives	0.5415305495262146	Phenoxy compounds	0.772917628288269			Phenoxy compounds	0.772917628288269	Benzene and substituted derivatives	0.9972944855690002	Benzenoids	0.9994043111801147	Organic compounds; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities
1_mz3_iin_sirius_3	C12H22O11	[M + Na]+	Carbohydrates	0.9975702166557312	Saccharides	0.998382568359375	Disaccharides	0.9999973773956299	Disaccharides	0.7663872241973877	Disaccharides	0.7663872241973877	Carbohydrates and carbohydrate conjugates	0.9996333122253418	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Aldehydes; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Beta-hydroxy aldehydes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
449_mz3_iin_sirius_491	C17H24O2	[M + H]+	Terpenoids	0.34013450145721436	Sesquiterpenoids	0.11638575047254562	Catechols with side chains	0.22692516446113586	Phenylpropanes	0.5380672812461853			Phenylpropanes	0.5380672812461853	Benzene and substituted derivatives	0.9123003482818604	Benzenoids	0.9883121848106384	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Phenols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
513_mz3_iin_sirius_565	C19H26O3	[M + H]+	Terpenoids	0.9916456341743469	Steroids	0.989043116569519	Androstane steroids	0.9509238600730896	Androgens and derivatives	0.9779143333435059	Androgens and derivatives	0.9779143333435059	Androstane steroids	0.9546293616294861	Steroids and steroid derivatives	0.9628370404243469	Lipids and lipid-like molecules	0.9280059933662415	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Oxosteroids; Hydroxysteroids; Androgens and derivatives; Carbonyl compounds; 3-oxo delta-4-steroids; Delta-4-steroids; 3-oxosteroids; Cyclic ketones; 17-oxosteroids; Androstane steroids; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities
385_mz3_iin_sirius_424	C19H22O4	[M + H]+	Terpenoids	0.9936891794204712	Diterpenoids	0.5509709119796753	Cembrane diterpenoids	0.2483757883310318	Terpene lactones	0.7556966543197632			Terpene lactones	0.7556966543197632	Prenol lipids	0.7550926208496094	Lipids and lipid-like molecules	0.6300312876701355	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Delta valerolactones; Terpene lactones; Carbonyl compounds; Furanones; Dihydrofurans; Butenolides; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
131_mz3_iin_sirius_151	C13H24N3O3S2	[M + Na]+	Alkaloids	0.8393204212188721	Lysine alkaloids	0.29575976729393005	Piperidine alkaloids	0.3356296718120575	Dialkylamines	0.8521190881729126	Secondary amines	0.8995180726051331	Amines	0.6233070492744446	Organonitrogen compounds	0.9997488856315613	Organic nitrogen compounds	0.999994158744812	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Thioethers; Dialkylamines; Amines; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
386_mz3_iin_sirius_425	C14H12O2	[M + H]+	Shikimates and Phenylpropanoids	0.6069471836090088	Coumarins	0.3152162432670593	Furocoumarins	0.24210549890995026	1-benzopyrans	0.7022432684898376			1-benzopyrans	0.7022432684898376	Benzopyrans	0.6451271772384644	Organoheterocyclic compounds	0.9994779229164124	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Alkyl aryl ethers; Ethers; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
578_mz3_iin_sirius_641	C19H24O2	[M + Na]+	Terpenoids	0.9868443012237549	Apocarotenoids	0.38138115406036377	Apocarotenoids (Î²-)	0.24804899096488953	17-oxosteroids	0.5975186228752136	17-oxosteroids	0.5975186228752136	Oxosteroids	0.508702278137207	Steroids and steroid derivatives	0.1581604927778244	Lipids and lipid-like molecules	0.9043655395507812	Organic compounds; Lipids and lipid-like molecules; Ketones; Aldehydes; Prenol lipids; Organooxygen compounds; Oxosteroids; Carbonyl compounds; Cyclic ketones; 17-oxosteroids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
450_mz3_iin_sirius_492	C18H26N3O3	[M + Na]+	Terpenoids	0.830235481262207	Monoterpenoids	0.6633627414703369	Pyridine alkaloids	0.2013089805841446	Benzenoids	0.6641648411750793							Benzenoids	0.6641648411750793	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
321_mz3_iin_sirius_353	C45H32O16	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.9991264939308167	Flavonoids	0.8410561084747314	Flavan-3-ols	0.38284698128700256	Biflavonoids and polyflavonoids	0.8108212351799011			Biflavonoids and polyflavonoids	0.8108212351799011	Flavonoids	0.9842455983161926	Phenylpropanoids and polyketides	0.998239278793335	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Carboxylic acid derivatives; Lignans, neolignans and related compounds; Monosaccharides; Catechins; Biflavonoids and polyflavonoids; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 2-arylbenzofuran flavonoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
194_mz3_iin_sirius_220	C15H10O7	[M + H]+	Shikimates and Phenylpropanoids	0.9915899634361267	Flavonoids	0.9903721809387207	Flavonols	0.7382630705833435	Flavonols	0.7959439158439636	Flavonols	0.7959439158439636	Flavones	0.9576362371444702	Flavonoids	0.9856280088424683	Phenylpropanoids and polyketides	0.9921143054962158	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Pyrogallols and derivatives; Pyranones and derivatives; Flavonols; Benzenediols; Benzenetriols and derivatives; Flavones; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
4_mz3_iin_sirius_6	C8H14O7	[M + Na]+	Carbohydrates	0.8986619114875793	Saccharides	0.7969357371330261	Monosaccharides	0.5246548056602478	Glycosyl compounds	0.6651099920272827	Glycosyl compounds	0.6651099920272827	Carbohydrates and carbohydrate conjugates	0.9477488994598389	Organooxygen compounds	0.9999998807907104	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
257_mz3_iin_sirius_286	C28H36O12	[M + Na]+	Shikimates and Phenylpropanoids	0.9337087869644165	Diarylheptanoids	0.7447038292884827	Linear diarylheptanoids	0.5499633550643921	Linear diarylheptanoids	0.9496334791183472			Linear diarylheptanoids	0.9496334791183472	Diarylheptanoids	0.9493353366851807	Phenylpropanoids and polyketides	0.893980860710144	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Phenols; Catechols; Ethers; Phenylpropanoids and polyketides; Primary alcohols; Organooxygen compounds; Benzenediols; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Diarylheptanoids; Linear diarylheptanoids; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
132_mz3_iin_sirius_152	C9H22N3O4	[M + Na]+	Amino acids and Peptides	0.7711355090141296	Small peptides	0.8940053582191467	Aminoacids	0.4494832456111908	Alpha amino acids and derivatives	0.5031718015670776	Amino acids and derivatives	0.9063411355018616	Amino acids, peptides, and analogues	0.9049023985862732	Carboxylic acids and derivatives	0.9814949035644531	Organic acids and derivatives	0.9954633116722107	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
66_mz3_iin_sirius_80	C30H38O16	[M - H4O2 + H]+	Shikimates and Phenylpropanoids	0.8991647958755493	Flavonoids	0.872887134552002	Flavan-3-ols	0.15925545990467072	Flavonoid glycosides	0.7553278803825378			Flavonoid glycosides	0.7553278803825378	Flavonoids	0.7080246210098267	Phenylpropanoids and polyketides	0.8144923448562622	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Primary alcohols; Organooxygen compounds; Flavonoids; Flavonoid glycosides; Dialkyl ethers; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
515_mz3_iin_sirius_567	C20H30O4	[M + Na]+	Terpenoids	0.6952698826789856	Diterpenoids	0.5941491723060608	Open-chain polyketides	0.26660192012786865	Benzenoids	0.5244438052177429							Benzenoids	0.5244438052177429	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
133_mz3_iin_sirius_154	C8H8O3	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.9774172306060791	Phenolic acids (C6-C1)	0.6669334173202515	Simple phenolic acids	0.6361410617828369	1-hydroxy-2-unsubstituted benzenoids	0.7615672945976257			1-hydroxy-2-unsubstituted benzenoids	0.7615672945976257	Phenols	0.8354642391204834	Benzenoids	0.9999500513076782	Organic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
322_mz3_iin_sirius_354	C17H40N3O17	[M + Na]+	Carbohydrates	0.9811222553253174	Aminosugars and aminoglycosides	0.9843823313713074	Aminoglycosides	0.9581120014190674	4,6-disubstituted 2-deoxystreptamines	0.8987633585929871	Aminosaccharides	0.9911264777183533	Carbohydrates and carbohydrate conjugates	0.9998766183853149	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Aminocyclitol glycosides; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Primary amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 4,6-disubstituted 2-deoxystreptamines; 2-deoxystreptamine aminoglycosides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
451_mz3_iin_sirius_493	C20H18O5	[M + H]+	Shikimates and Phenylpropanoids	0.9966887831687927	Diarylheptanoids	0.9628886580467224	Linear diarylheptanoids	0.9526618719100952	Curcuminoids	0.7902688980102539	Curcuminoids	0.7902688980102539	Linear diarylheptanoids	0.40947428345680237	Diarylheptanoids	0.539020836353302	Phenylpropanoids and polyketides	0.9733496904373169	Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Ketones; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Fatty acid esters; Curcuminoids; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Enones; Hydroxycinnamic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Diarylheptanoids; Alpha,beta-unsaturated carbonyl compounds; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Alpha,beta-unsaturated ketones; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
579_mz3_iin_sirius_642	C19H24O2	[M - H2O + H]+	Terpenoids	0.6463131308555603	Meroterpenoids	0.6393671035766602	Cannabinoids	0.858159065246582	1-hydroxy-2-unsubstituted benzenoids	0.6421648263931274			1-hydroxy-2-unsubstituted benzenoids	0.6421648263931274	Phenols	0.7910109758377075	Benzenoids	0.9156255722045898	Organic compounds; Phenols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
195_mz3_iin_sirius_221	C16H26N3O8	[M - H2O + H]+	Amino acids and Peptides	0.6181204319000244	Small peptides	0.3411923944950104	Dipeptides	0.49753162264823914	Alpha amino acids and derivatives	0.6498389840126038	Amino acids and derivatives	0.8272096514701843	Amino acids, peptides, and analogues	0.8283987641334534	Carboxylic acids and derivatives	0.7850351929664612	Organic acids and derivatives	0.8711534142494202	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
387_mz3_iin_sirius_426	C20H28O3	[M + H]+	Terpenoids	0.9861214756965637	Diterpenoids	0.72856205701828	Pimarane and Isopimarane diterpenoids	0.08028827607631683	Prenol lipids	0.728950560092926					Prenol lipids	0.728950560092926	Lipids and lipid-like molecules	0.936342716217041	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
134_mz3_iin_sirius_155	C12H9O	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.6776421070098877	Polycyclic aromatic polyketides	0.6690860986709595	Anthraquinones and anthrones	0.4416625499725342	Benzenoids	0.9972295165061951							Benzenoids	0.9972295165061951	Organic compounds; Organooxygen compounds; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
5_mz3_iin_sirius_7	C13H20N3O8	[M + Na]+	Amino acids and Peptides	0.783024251461029	Small peptides	0.6821463108062744	Pyrimidine nucleos(t)ides	0.7816979885101318	Alpha amino acids and derivatives	0.8154307007789612	Amino acids and derivatives	0.8819676637649536	Amino acids, peptides, and analogues	0.879690408706665	Carboxylic acids and derivatives	0.823408305644989	Organic acids and derivatives	0.8542094230651855	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
